No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
58,777/1,27.3,42.8,7.2,0,45,37,100,183,6.6,0.02,56,22,0.0296,6.6,0.02,171,5,7,0.05,35.5,45.5,7,0.005,4,50
61,777/2,32,74.4,5.1,0,46,39,102,186,6.5,0.02,52,26,0.0276,6.5,0.02,175,5,7,0.05,35.5,45.5,7.2,0.005,4,50
64,777/3,31.5,72.8,5.9,0,43,35,98,179,6.8,0.02,57,25,0.028,6.8,0.02,177,5,7,0.05,35.5,45.5,7,0.005,4,50
67,789/1,31.1,62,4.3,0,29,21,82,150,5.1,0.06,9,55,0.0296,5.1,0.06,5,11,5.5,0.05,6.5,30,6.8,0.005,4,50
70,789/2,30.7,62,3,0,28,21,81,149,5,0.06,9,56,0.0298,5,0.06,5,11,5.5,0.05,6.5,30,6.8,0.005,4,50
73,789/3,31.2,64.2,3,0,29,27,82,150,5,0.065,9,58,0.0302,5,0.065,5,12,5.5,0.05,6.5,30,6.8,0.005,4,50
76,798/1,30.9,61.6,3.4,0,25,17,78,142,5.2,0.09,5,40,0.01674,5.2,0.09,2,7,5,0.07,3,30,6.6,0.005,4,50
79,798/2,31,63.4,3,0,25,17,78,142,5.3,0.1,5,42,0.01434,5.3,0.1,2,7,5,0.07,3,30,6.6,0.005,4,50
82,798/3,30.9,61.1,3.1,0,26,18,78,143,5.3,0.1,5,43,0.01717,5.3,0.1,2,7,5,0.07,3,30,6.6,0.005,4,50
85,802/1,30.5,64.2,3.9,0,3,22,83,151,5.3,0.045,4,56,0.0261,5.3,0.045,2,9,5,0.05,3,30,6.8,0.005,4,50
88,802/2,31,63.8,4.7,0,30,22,83,151,5.3,0.055,4,60,0.0263,5.3,0.055,2,9,5,0.05,3,30,6.8,0.005,4,50
91,802/3,31.1,65.4,5,0,30,22,83,151,5.4,0.055,4,60,0.0263,5.4,0.055,3,9,5,0.05,3,30,6.8,0.005,4,50
94,818/1,31.4,59.5,4.1,0,25,18,78,143,5.5,0.11,61,61,0.0324,5.5,0.11,76,11,5,0.07,18,45.5,7,0.005,4,50
97,818/2,31,61.6,4,0,27,19,79,145,5.4,0.115,66,65,0.0313,5.4,0.115,79,11,5,0.07,35.5,45.5,7,0.005,4,50
100,818/3,30.7,58.5,4,0,27,19,79,145,5.3,0.12,62,66,0.0317,5.3,0.12,79,10,5,0.07,18,45.5,7,0.005,4,50
103,821/1,30.9,64.6,3.9,0,31,23,84,154,5.6,0.055,5,52,0.0231,5.6,0.055,5,8,6,0.05,3,45.5,7,0.005,4,50
106,821/2,30.4,61.6,4.6,0,31,23,84,153,5.7,0.07,5,52,0.0211,5.7,0.07,5,8,6,0.05,3,45.5,7,0.005,4,50
109,821/3,30.2,62.8,5,0,30,22,83,152,5.8,0.07,5,53,0.0212,5.8,0.07,5,8,6,0.05,3,45.5,7,0.005,4,50
112,829/1,30.6,60.7,4,0,22,14,74,135,4.9,0.045,6,20,0.01257,4.9,0.045,3,4,5,0.05,3,30,7,0.005,4,50
115,829/2,30,59.5,5,0,22,14,74,135,5.1,0.05,6,20,0.01236,5.1,0.05,3,4,5,0.05,3,30,7,0.005,4,50
118,829/3,29.5,61.6,4.6,0,22,14,74,135,5,0.05,6,22,0.01206,5,0.05,3,4,5,0.05,3,30,7,0.005,4,50
121,830/1,31.3,58.9,4.6,0,30,22,83,152,6,0.06,16,15,0.0195,6,0.06,14,4,6.5,0.05,6.5,30,7,0.005,4,50
124,830/2,30.1,59.5,6.2,0,30,22,83,151,6.2,0.07,14,17,0.0208,6.2,0.07,14,4,6.5,0.05,6.5,30,7,0.005,4,50
127,830/3,31,56.8,7,0,29,21,82,150,6.3,0.07,17,16,0.01746,6.3,0.07,15,4,6.5,0.05,6.5,30,7,0.005,4,50
130,839/1,28.8,50.6,5.2,0,34,27,88,161,5.8,0.1,25,27,0.0288,5.8,0.1,33,5,6,0.07,6.5,45.5,7,0.005,4,50
133,839/2,28,49.6,6.5,0,34,27,88,162,5.7,0.1,27,27,0.0304,5.7,0.1,35,5,6,0.07,6.5,45.5,7,0.005,4,50
136,839/3,28.1,50.6,6.7,0,34,27,88,161,5.8,0.105,24,26,0.0301,5.8,0.105,37,5,6,0.07,6.5,45.5,7,0.005,4,50
139,1154/1,27.6,50.3,5.6,8,65,58,123,225,4.7,0.11,5,27,0.1195,4.7,0.11,6,3,5,0.07,3,45.5,6.6,0.005,4,50
142,1154/2,27.2,50.1,5.6,8,65,57,123,225,4.7,0.095,5,27,0.1197,4.7,0.095,6,3,5,0.07,3,45.5,6.7,0.005,4,50
145,1154/3,26.5,50.5,5.4,7,62,55,120,219,4.7,0.095,5,28,0.1237,4.7,0.095,6,3,5,0.07,3,45.5,6.5,0.005,4,50
148,1159/1,26,51.4,6.9,1,49,41,105,191,6.7,0.07,43,15,0.0709,6.7,0.07,35,3,7,0.07,18,105.5,7,0.005,4,50
151,1159/2,26,49,7.4,1,49,41,105,191,6.8,0.07,47,16,0.0704,6.8,0.07,41,3,7,0.07,18,105.5,7,0.005,4,50
157,1159/3,25.5,50.6,7.5,1,49,41,105,191,6.9,0.07,46,16,0.0693,6.9,0.07,37,2,7,0.07,18,105.5,7,0.005,4,50
160,903/1,25.1,50.3,7.8,28,111,104,176,65,6.5,0.095,21,75,0.205,6.5,0.095,3,15,7,0.05,3,45.5,7,0.005,9,125
163,903/2,25,55.8,8.1,29,113,106,178,69,6.5,0.09,19,72,0.221,6.5,0.09,3,13,7,0.05,3,45.5,7.6,0.005,4,50
166,903/3,25.2,50.6,8.5,25,105,98,169,53,6.6,0.085,20,73,0.221,6.6,0.085,3,13,7,0.05,3,45.5,7,0.0125,9,125
169,908/1,24.8,54.4,6.2,0,23,15,75,138,4.8,0.085,43,43,0.01764,4.8,0.085,37,8,6,0.05,6.5,30,7,0.005,4,50
172,908/2,24.7,56.9,5.2,0,24,16,76,139,4.8,0.085,44,41,0.01959,4.8,0.085,33,7,6,0.05,6.5,30,7,0.005,4,50
175,908/3,25.2,54.8,4.9,0,24,16,76,139,4.8,0.09,43,41,0.0209,4.8,0.09,36,8,6,0.05,6.5,30,7,0.005,4,50
178,909/1,24.6,55.8,6.4,0,33,25,86,158,6.3,0.065,73,67,0.0412,6.3,0.065,127,12,7,0.05,35.5,45.5,7,0.005,4,50
181,909/2,23.8,54.4,7.3,0,33,26,87,159,6.2,0.06,75,65,0.0347,6.2,0.06,125,12,7,0.05,35.5,45.5,7,0.005,4,50
184,909/3,23.4,53.4,7.7,0,33,25,86,158,6.4,0.06,87,68,0.0382,6.4,0.06,122,13,7,0.05,35.5,45.5,7,0.005,4,50
187,910/1,23.4,54,8,0,31,24,85,155,6.7,0.065,61,63,0.035,6.7,0.065,122,11,7,0.05,35.5,45.5,7,0.005,4,50
190,910/2,24,54.4,8.5,0,31,23,84,153,6.7,0.055,65,58,0.0295,6.7,0.055,119,11,7,0.05,35.5,30,7,0.005,4,50
193,910/3,24.2,54.4,8.6,0,31,23,84,153,6.8,0.055,72,56,0.0328,6.8,0.055,115,11,7,0.05,35.5,45.5,7,0.005,4,50
196,916/1,24.1,56,7.6,0,24,16,76,139,5.7,0.055,49,48,0.01067,5.7,0.055,58,9,5.5,0.05,18,30,7,0.005,4,50
199,916/2,23.7,55.8,6.7,0,24,16,76,139,5.6,0.06,57,49,0.01512,5.6,0.06,68,9,5.5,0.05,18,30,7,0.005,4,50
202,916/3,23.6,57.7,6.3,0,24,16,76,139,5.7,0.06,55,46,0.01499,5.7,0.06,64,9,5.5,0.05,18,30,7,0.005,4,50
205,962/1,23.9,54.4,5.4,0,24,16,77,140,4.8,0.125,9,21,0.0218,4.8,0.125,10,5,5,0.07,3,30,7,0.005,4,50
208,962/2,24,53.4,5.3,0,24,16,77,140,4.6,0.12,10,24,0.0207,4.6,0.12,10,5,5,0.07,3,30,7,0.005,4,50
211,962/3,25.8,53.8,5.2,0,24,16,77,140,4.6,0.105,9,23,0.0209,4.6,0.105,9,5,5,0.07,3,30,7,0.005,4,50
214,963/1,25.6,54.4,5.3,0,24,16,76,139,4.7,0.06,37,34,0.0289,4.7,0.06,48,6,4.5,0.05,6.5,30,7,0.005,4,50
217,963/2,25.4,54.2,5.3,0,24,16,77,140,4.6,0.06,42,36,0.0272,4.6,0.06,47,6,4.5,0.05,6.5,30,7,0.005,4,50
220,963/3,25.4,50.6,6.2,0,24,16,77,140,4.6,0.06,37,34,0.0285,4.6,0.06,47,6,4.5,0.05,6.5,30,7,0.005,4,50
223,964/1,25.2,54,5.9,0,22,14,74,135,4.8,0.05,9,48,0.01702,4.8,0.05,12,9,5,0.05,3,30,7,0.005,4,50
226,964/2,25.2,54.4,6,0,22,14,74,135,4.8,0.05,10,50,0.01787,4.8,0.05,13,9,5,0.05,3,30,7,0.005,4,50
229,964/3,25.2,57.3,6,0,22,14,74,136,4.9,0.055,9,51,0.0174,4.9,0.055,14,9,5,0.05,3,30,7,0.005,4,50
232,970/1,24.6,55.2,6.1,0,28,20,81,148,5.4,0.095,116,21,0.0266,5.4,0.095,144,4,5,0.07,46,30,7,0.005,4,50
235,970/2,24.3,53.4,6.4,0,28,20,81,148,5.3,0.095,120,24,0.0299,5.3,0.095,148,4,5,0.07,46,30,7,0.005,4,50
238,970/3,24.2,54.6,6.4,0,28,20,80,147,5.4,0.095,112,24,0.0312,5.4,0.095,159,4,5,0.07,46,30,7,0.005,4,50
241,972/1,24.4,50.6,5.9,0,32,25,86,157,5,0.185,5,52,0.0507,5,0.185,1,8,4.5,0.12,3,30,6.8,0.005,4,50
244,972/2,24.5,50.8,5.7,0,32,25,86,157,4.8,0.175,5,53,0.0506,4.8,0.175,1,8,4.5,0.12,3,30,6.8,0.005,4,50
247,972/3,24.6,49.6,5.7,0,33,25,86,158,4.9,0.17,5,54,0.0512,4.9,0.17,1,9,4.5,0.12,3,30,6.8,0.005,4,50
250,973/1,24.6,49.5,6.1,0,45,37,100,182,5.2,0.145,6,28,0.0853,5.2,0.145,0.1,6,5.5,0.12,3,45.5,6.8,0.005,4,50
253,973/2,24,51.6,6.3,0,44,36,99,181,5.2,0.145,6,28,0.0831,5.2,0.145,0.1,6,5.5,0.12,3,45.5,6.8,0.005,4,50
256,973/3,23.8,51.8,6.3,0,44,36,99,181,5.2,0.145,6,28,0.0821,5.2,0.145,0.1,6,5.5,0.12,3,45.5,6.8,0.005,4,50
259,978/1,24,53.4,5.8,0,23,15,75,137,4.5,0.14,14,29,0.0215,4.5,0.14,8,6,5,0.12,3,30,7,0.005,4,50
262,978/2,24.2,51.8,5.7,0,23,15,75,137,4.5,0.165,15,30,0.0218,4.5,0.165,9,6,5,0.12,3,30,7,0.005,4,50
265,978/3,24.6,49.6,5.8,0,23,15,75,138,4.4,0.15,16,30,0.0215,4.4,0.15,9,6,5,0.12,3,30,7,0.005,4,50
268,979/1,24.7,47.8,5.6,13,77,69,136,249,4.3,0.105,24,21,0.1688,4.3,0.105,11,5,5,0.05,6.5,30,6.4,0.005,4,50
271,979/2,24.6,49,5.7,13,77,69,136,249,4.3,0.105,26,22,0.1625,4.3,0.105,10,5,5,0.05,6.5,30,6.5,0.005,4,50
274,979/3,24,47.8,5.6,13,76,69,136,248,4.4,0.105,24,22,0.1685,4.4,0.105,11,5,5,0.05,6.5,30,6.5,0.005,4,50
277,981/1,23.8,49,5.5,0,37,29,91,167,4.9,0.19,190,80,0.0791,4.9,0.19,125,18,5,0.15,35.5,45.5,7,0.005,4,50
280,981/2,23.8,50.3,5.7,0,38,30,92,168,4.8,0.18,184,89,0.0787,4.8,0.18,125,18,5,0.15,35.5,45.5,7,0.005,4,50
283,981/3,24.2,49,5.7,0,38,30,92,169,4.8,0.195,220,84,0.0744,4.8,0.195,122,18,5,0.15,35.5,45.5,7,0.005,4,50
286,1005/1,24.6,47.8,5.3,10,70,63,129,235,4.3,0.14,14,25,0.1633,4.3,0.14,8,5,5,0.07,6.5,30,7,0.005,4,50
289,1005/2,24.6,47.8,5.1,11,73,65,132,241,4.2,0.135,15,26,0.1538,4.2,0.135,8,5,5,0.07,6.5,30,7,0.005,4,50
292,1005/3,24.3,49.5,5.3,11,72,65,132,240,4.1,0.125,13,25,0.1501,4.1,0.125,9,5,5,0.07,6.5,30,7,0.005,4,50
295,1006/1,23.3,52.2,6,0,37,29,91,167,4.9,0.295,47,27,0.0823,4.9,0.295,15,7,5,0.15,6.5,45.5,7,0.005,4,50
298,1006/2,22.9,50.3,5.9,0,38,30,92,168,4.9,0.305,46,30,0.0801,4.9,0.305,14,7,5,0.15,6.5,45.5,7,0.005,4,50
301,1006/3,23.1,50.6,5.8,0,38,30,92,168,4.9,0.305,50,31,0.0776,4.9,0.305,14,7,5,0.15,6.5,45.5,7,0.005,4,50
304,1007/1,24,49.8,6.1,0,40,32,94,172,5.1,0.245,52,53,0.0982,5.1,0.245,13,12,5,0.12,6.5,45.5,7,0.005,4,50
310,1007/2,24.1,49.6,6.2,0,39,31,94,171,5,0.24,58,54,0.0957,5,0.24,14,12,5,0.12,6.5,45.5,7,0.005,4,50
313,1007/3,23.7,49.5,6.2,0,39,31,94,171,5,0.245,58,53,0.0969,5,0.245,15,12,5,0.12,6.5,45.5,7,0.005,4,50
316,1041/1,25.4,56,7,0,24,16,77,140,5.4,0.085,470,38,0.0241,5.4,0.085,389,10,5.5,0.07,35.5,30,7,0.005,4,50
319,1041/2,25.3,53.8,7.1,0,24,16,77,140,5.5,0.09,485,42,0.023,5.5,0.09,370,9,5.5,0.07,35.5,30,7,0.005,4,50
322,1041/3,25,54,6.9,0,24,16,77,140,5.6,0.09,492,42,0.0233,5.6,0.09,371,10,5.5,0.07,35.5,30,7,0.005,4,50
325,1042/1,25,54,6.9,0,23,15,75,137,5.3,0.105,521,47,0.01742,5.3,0.105,322,10,5.5,0.07,35.5,30,7,0.005,4,50
328,1042/2,25,53.8,6.8,0,23,15,75,137,5.6,0.1,508,47,0.01859,5.6,0.1,312,11,5.5,0.07,35.5,30,7,0.005,4,50
331,1042/3,25,54.4,6.6,0,23,15,75,137,5.5,0.105,502,48,0.01905,5.5,0.105,330,11,5.5,0.07,35.5,30,7,0.005,4,50
334,1043/1,24.9,50.8,6.2,0,39,31,94,171,4.9,0.165,53,52,0.0703,4.9,0.165,29,11,5,0.12,6.5,45.5,7,0.005,4,50
337,1043/2,24.4,54.4,5.8,0,39,31,94,171,5.2,0.15,51,51,0.0677,5.2,0.15,28,12,5,0.12,6.5,45.5,7,0.005,4,50
340,1043/3,24,53.4,6,0,39,31,92,169,5.1,0.16,45,52,0.0689,5.1,0.16,29,12,5,0.12,6.5,45.5,7,0.005,4,50
343,1046/1,24,56,7.5,0,39,31,93,170,5.8,0.145,327,260,0.0453,5.8,0.145,135,59,5.5,0.12,35.5,45.5,7,0.005,4,50
346,1046/2,24.1,55.8,7.6,0,38,30,92,169,5.9,0.145,318,280,0.0468,5.9,0.145,133,59,5.5,0.12,35.5,45.5,7,0.005,4,50
349,1046/3,24.3,54.4,7.6,0,38,30,92,169,6,0.15,326,280,0.0475,6,0.15,129,62,5.5,0.12,35.5,45.5,7,0.005,4,50
352,1051/1,25.6,59.1,7.2,0,47,39,102,187,5.6,0.135,153,430,0.0514,5.6,0.135,128,75,5,0.15,35.5,75.5,6.8,0.005,4,50
355,1051/2,25.7,60.5,7,0,47,39,102,187,5.7,0.135,154,410,0.0511,5.7,0.135,132,76,5,0.15,35.5,75.5,7,0.005,4,50
358,1051/3,25.2,64.2,7.3,0,47,39,102,187,5.7,0.14,165,410,0.05,5.7,0.14,133,76,5,0.15,35.5,75.5,6.8,0.005,4,50
361,1085/1,25,51.6,4.9,0,43,35,97,178,5.5,0.07,65,48,0.0991,5.5,0.07,61,10,5.5,0.12,18,30,7,0.005,4,50
364,1085/2,25.1,53.8,4.9,0,43,35,97,178,5.2,0.065,70,53,0.1038,5.2,0.065,58,10,5.5,0.12,18,30,7,0.005,4,50
367,1085/3,25.5,55.8,5.3,0,44,36,99,181,5.3,0.06,70,54,0.0966,5.3,0.06,58,11,5.5,0.12,18,30,6.7,0.005,4,50
370,1086/1,31.3,55.8,6,8,65,57,123,224,5.1,0.13,63,120,0.083,5.1,0.13,27,22,5.5,0.15,6.5,45.5,6.8,0.005,4,50
373,1086/2,31,55.8,6.4,8,65,58,123,225,5,0.15,63,120,0.1032,5,0.15,28,22,5.5,0.15,6.5,45.5,6.7,0.005,4,50
376,1086/3,30.9,54,6.3,9,67,59,125,228,5,0.155,57,130,0.1034,5,0.155,27,22,5.5,0.15,6.5,45.5,6.8,0.005,4,50
379,1091/1,30.8,54,9,0,38,30,92,169,6.6,0.045,13,41,0.0554,6.6,0.045,19,9,6.5,0.07,6.5,45.5,7,0.005,4,50
382,1091/2,30.7,56,9,0,38,30,92,168,6.6,0.05,14,42,0.0508,6.6,0.05,18,9,6.5,0.07,6.5,45.5,7,0.005,4,50
385,1091/3,30.4,54,9,0,38,30,92,168,6.8,0.05,13,41,0.052,6.8,0.05,21,9,6.5,0.07,6.5,45.5,7,0.005,4,50
388,1102/1,30.3,58.5,5.5,0,24,16,77,140,4.2,0.06,14,28,0.0249,4.2,0.06,9,5,5,0.07,6.5,30,7,0.005,4,50
391,1102/2,30.2,58.5,4.8,0,25,17,77,141,4.2,0.06,14,28,0.023,4.2,0.06,9,5,5,0.07,6.5,30,7,0.005,4,50
394,1102/3,30.1,61.5,4.6,0,25,17,77,141,4.3,0.06,12,27,0.0248,4.3,0.06,2,5,5,0.07,6.5,30,7,0.005,4,50
397,1104/1,30.3,60.7,4.9,0,25,17,77,141,4.4,0.04,12,19,0.0209,4.4,0.04,9,4,4,0.05,6.5,30,7,0.005,4,50
400,1104/2,29.8,58.5,5,0,25,17,77,141,4.5,0.045,13,20,0.021,4.5,0.045,9,4,4,0.05,6.5,30,7,0.005,4,50
403,1104/3,29.8,59.1,5.2,0,25,17,77,141,4.4,0.045,11,20,0.0206,4.4,0.045,9,4,4,0.05,6.5,30,6.8,0.005,4,50
406,1107/1,29.8,66.8,6.7,0,43,35,97,177,5.8,0.235,4,34,0.0313,5.8,0.235,2,7,6,0.15,3,45.5,7,0.005,4,50
409,1107/2,29.7,63.4,7,0,42,34,97,177,5.9,0.235,4,34,0.0308,5.9,0.235,2,7,6,0.15,3,45.5,7,0.005,4,50
412,1107/3,29.9,63.6,7.1,0,44,36,99,180,6,0.245,4,34,0.0302,6,0.245,2,7,6,0.15,3,45.5,6.8,0.005,4,50
415,1122/1,29.7,60.7,6.3,0,28,20,80,147,5.1,0.045,18,90,0.01809,5.1,0.045,16,10,5,0.15,6.5,30,6.8,0.005,4,50
418,1122/2,29.7,58.5,6.1,0,28,20,80,147,5.3,0.05,15,87,0.0176,5.3,0.05,16,10,5,0.15,6.5,30,6.8,0.005,4,50
421,1122/3,29.8,58.5,6.2,0,27,19,80,146,5.2,0.05,16,87,0.01844,5.2,0.05,17,11,5,0.15,6.5,30,6.8,0.005,4,50
424,1123/1,29.9,58.5,6.7,0,31,24,85,155,5.8,0.08,40,98,0.0236,5.8,0.08,43,12,6,0.15,18,45.5,6.7,0.005,4,50
427,1123/2,30.1,60.7,7,0,32,24,85,156,5.9,0.08,38,94,0.0231,5.9,0.08,43,13,6,0.15,18,45.5,7,0.005,4,50
430,1123/3,30.9,59.1,6.8,0,31,23,84,153,5.9,0.085,39,99,0.0231,5.9,0.085,45,13,6,0.15,18,45.5,7,0.005,4,50
433,1124/1,31.2,58.5,5.9,0,42,34,96,176,5.7,0.105,243,120,0.0498,5.7,0.105,258,14,5.5,0.15,46,45.5,6.8,0.005,4,50
436,1124/2,30.9,60.7,5.8,0,42,34,97,177,5.1,0.11,212,130,0.0513,5.1,0.11,256,14,5.5,0.15,46,45.5,6.7,0.005,4,50
439,1124/3,30.8,62,5.8,0,43,35,97,178,5.1,0.105,232,130,0.0519,5.1,0.105,270,14,5.5,0.15,46,45.5,6.8,0.005,4,50
442,1131/1,30.4,53.2,6.9,19,90,82,151,21,6.2,0.05,4,17,0.1548,6.2,0.05,7,2,6.5,0.05,3,45.5,7,0.005,4,50
445,1131/2,30.5,58.5,7.7,17,86,79,147,14,6.4,0.05,4,18,0.157,6.4,0.05,8,2,6.5,0.05,3,45.5,7,0.005,4,50
448,1131/3,30.6,58.5,7.8,19,90,83,152,22,6.5,0.05,4,20,0.1659,6.5,0.05,8,2,6.5,0.05,3,45.5,7,0.005,4,50
451,1136/1,30.3,64,7.9,0,31,24,85,155,7.2,0.055,17,26,0.0248,7.2,0.055,24,3,7,0.05,18,45.5,7,0.005,4,50
454,1136/2,30,63.6,8.2,0,31,23,84,155,7.3,0.055,15,27,0.106,7.3,0.055,28,3,7,0.05,18,45.5,7,0.005,4,50
457,1136/3,30.3,59.5,8,0,31,24,85,155,7.2,0.055,15,26,0.0245,7.2,0.055,25,3,7,0.05,18,45.5,7,0.005,4,50
