No,Sample_no,test_Temp,test_Humid,test_pH,test_N,test_P,test_K,test_Salinity,test_Conductivity,lab_pH,lab_N,lab_P,lab_K,lab_EC,mobi_pH,mobi_N,mobi_P,mobi_K,kit_pH,kit_N,kit_P,kit_K,sim_pH,sim_N,sim_P,sim_K
43,775/2,23.50,48.10,6.90,0.00,32.00,24.00,85.00,156.00,5.30,0.09,113.00,45.00,0.03,5.30,0.09,144.00,9.00,5.00,0.07,35.50,30.00,7.00,0.01,4.00,50.00
46,775/3,23.30,47.30,7.00,0.00,28.00,20.00,81.00,148.00,5.40,0.09,110.00,45.00,0.04,5.40,0.09,148.00,8.00,5.00,0.07,35.50,30.00,7.00,0.01,4.00,50.00
49,779/1,23.60,50.10,6.80,0.00,27.00,19.00,79.00,145.00,5.50,0.04,3.00,19.00,0.02,5.50,0.04,6.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
52,779/2,23.60,49.60,6.80,0.00,27.00,19.00,80.00,146.00,5.70,0.04,3.00,20.00,0.02,5.70,0.04,6.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
55,779/3,23.70,49.70,6.70,0.00,28.00,20.00,81.00,148.00,5.70,0.04,3.00,20.00,0.03,5.70,0.04,6.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
58,804/1,23.80,48.20,6.50,0.00,23.00,15.00,75.00,137.00,5.20,0.04,5.00,18.00,0.02,5.20,0.04,2.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
61,804/2,23.80,51.60,6.80,0.00,23.00,15.00,75.00,137.00,5.40,0.04,5.00,16.00,0.01,5.40,0.04,2.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
64,804/3,23.70,52.60,6.90,0.00,23.00,15.00,75.00,137.00,5.30,0.05,5.00,16.00,0.01,5.30,0.05,2.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
67,812/1,23.50,49.70,7.10,7.00,63.00,56.00,121.00,221.00,6.00,0.12,7.00,41.00,0.12,6.00,0.12,4.00,7.00,6.50,0.12,3.00,45.50,7.00,0.01,4.00,50.00
70,812/2,23.60,49.00,7.00,8.00,66.00,58.00,123.00,225.00,6.00,0.11,8.00,41.00,0.12,6.00,0.11,4.00,8.00,6.50,0.12,3.00,45.50,7.00,0.01,4.00,50.00
73,812/3,23.50,48.60,7.00,8.00,65.00,58.00,123.00,225.00,5.90,0.13,8.00,40.00,0.12,5.90,0.13,4.00,7.00,6.50,0.12,3.00,45.50,7.00,0.01,4.00,50.00
76,813/1,23.50,49.80,6.10,0.00,25.00,17.00,78.00,142.00,4.50,0.05,40.00,30.00,0.02,4.50,0.05,39.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
79,813/2,23.50,49.00,6.10,0.00,26.00,18.00,78.00,143.00,5.10,0.05,47.00,31.00,0.02,5.10,0.05,41.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
82,813/3,23.50,49.70,6.00,0.00,26.00,18.00,78.00,143.00,4.70,0.05,45.00,29.00,0.02,4.70,0.05,39.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
85,815/1,23.40,49.00,7.30,0.00,35.00,28.00,89.00,163.00,5.80,0.04,8.00,28.00,0.04,5.80,0.04,12.00,6.00,6.00,0.05,6.50,45.50,7.00,0.01,4.00,50.00
88,815/2,23.30,50.60,7.50,0.00,36.00,28.00,90.00,164.00,5.70,0.04,9.00,30.00,0.04,5.70,0.04,11.00,6.00,6.00,0.05,6.50,45.50,7.00,0.01,4.00,50.00
91,815/3,23.50,51.60,7.50,0.00,35.00,27.00,89.00,162.00,6.00,0.04,8.00,30.00,0.04,6.00,0.04,11.00,6.00,6.00,0.05,6.50,45.50,7.00,0.01,4.00,50.00
94,817/1,23.70,49.00,7.40,0.00,22.00,14.00,74.00,136.00,5.70,0.04,4.00,12.00,0.01,5.70,0.04,1.00,3.00,6.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
97,817/2,23.30,48.10,7.30,0.00,22.00,14.00,74.00,136.00,5.70,0.05,4.00,11.00,0.01,5.70,0.05,1.00,3.00,6.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
100,817/3,23.30,49.80,7.30,0.00,22.00,14.00,74.00,135.00,5.60,0.05,4.00,11.00,0.01,5.60,0.05,1.00,3.00,6.00,0.05,3.00,30.00,7.00,0.01,4.00,50.00
103,837/1,24.00,49.50,7.20,0.00,29.00,21.00,81.00,149.00,5.20,0.06,9.00,28.00,0.02,5.20,0.06,3.00,6.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
106,837/2,24.00,48.20,7.30,0.00,29.00,21.00,82.00,150.00,5.20,0.07,10.00,29.00,0.02,5.20,0.07,3.00,6.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
109,837/3,24.00,49.50,7.20,0.00,29.00,21.00,82.00,150.00,5.30,0.07,9.00,29.00,0.02,5.30,0.07,3.00,6.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
112,838/1,24.50,50.80,9.00,0.00,25.00,17.00,77.00,141.00,6.20,0.03,7.00,11.00,0.02,6.20,0.03,2.00,3.00,6.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
115,838/2,24.40,49.60,9.00,0.00,25.00,17.00,78.00,142.00,6.20,0.03,8.00,12.00,0.02,6.20,0.03,2.00,3.00,6.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
118,838/3,24.30,60.70,9.00,0.00,25.00,17.00,78.00,142.00,6.30,0.03,8.00,12.00,0.02,6.30,0.03,2.00,3.00,6.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
121,911/1,23.80,58.50,7.40,0.00,30.00,22.00,83.00,152.00,5.70,0.07,31.00,33.00,0.03,5.70,0.07,38.00,7.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
124,911/2,23.90,56.90,7.30,0.00,31.00,23.00,83.00,153.00,5.60,0.07,36.00,33.00,0.03,5.60,0.07,38.00,7.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
127,911/3,23.90,58.50,7.20,0.00,30.00,22.00,83.00,152.00,5.50,0.06,32.00,33.00,0.03,5.50,0.06,32.00,7.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
130,912/1,23.70,59.10,7.70,0.00,28.00,20.00,81.00,148.00,5.90,0.05,14.00,27.00,0.02,5.90,0.05,14.00,6.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
133,912/2,23.60,59.10,7.70,0.00,28.00,20.00,81.00,148.00,5.70,0.05,15.00,26.00,0.02,5.70,0.05,12.00,6.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
136,912/3,23.50,58.50,7.70,0.00,28.00,20.00,81.00,148.00,5.70,0.04,16.00,27.00,0.02,5.70,0.04,12.00,6.00,6.50,0.05,6.50,30.00,7.00,0.01,4.00,50.00
139,913/1,23.50,59.10,6.90,0.00,26.00,18.00,78.00,143.00,5.40,0.05,46.00,18.00,0.02,5.40,0.05,45.00,4.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
142,913/2,23.50,60.50,6.90,0.00,26.00,18.00,78.00,143.00,5.20,0.04,45.00,18.00,0.02,5.20,0.04,50.00,4.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
145,913/3,23.50,59.10,6.90,0.00,26.00,18.00,78.00,143.00,5.20,0.04,46.00,18.00,0.02,5.20,0.04,52.00,4.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
148,914/1,23.00,59.10,6.50,0.00,28.00,20.00,80.00,147.00,5.10,0.06,128.00,40.00,0.02,5.10,0.06,97.00,8.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
151,914/2,23.00,58.30,6.40,0.00,28.00,20.00,80.00,147.00,5.00,0.05,121.00,41.00,0.02,5.00,0.05,105.00,7.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
157,914/3,23.00,58.50,6.40,0.00,28.00,20.00,80.00,147.00,4.90,0.05,130.00,40.00,0.02,4.90,0.05,99.00,8.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
160,915/1,22.90,60.70,7.10,0.00,29.00,21.00,81.00,149.00,5.30,0.04,81.00,57.00,0.03,5.30,0.04,75.00,11.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
163,915/2,22.90,59.50,7.30,0.00,29.00,21.00,81.00,149.00,5.20,0.04,87.00,57.00,0.03,5.20,0.04,71.00,10.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
166,915/3,23.00,62.20,7.00,0.00,28.00,20.00,81.00,148.00,5.20,0.03,89.00,60.00,0.03,5.20,0.03,76.00,12.00,5.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
169,927/1,25.60,48.20,8.50,0.00,29.00,21.00,82.00,150.00,6.10,0.06,469.00,26.00,0.03,6.10,0.06,591.00,7.00,6.50,0.05,46.00,45.50,6.60,0.01,4.00,50.00
172,927/2,25.70,49.20,8.30,0.00,29.00,21.00,82.00,150.00,6.30,0.06,510.00,26.00,0.03,6.30,0.06,591.00,7.00,6.50,0.05,46.00,45.50,6.70,0.01,4.00,50.00
175,927/3,25.70,49.30,8.20,0.00,30.00,22.00,83.00,151.00,6.30,0.06,510.00,27.00,0.03,6.30,0.06,591.00,7.00,6.50,0.05,46.00,45.50,6.80,0.01,4.00,50.00
178,935/1,25.60,49.50,6.40,0.00,23.00,15.00,75.00,137.00,5.10,0.03,45.00,38.00,0.02,5.10,0.03,50.00,8.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
181,935/2,25.60,49.00,6.30,0.00,23.00,15.00,75.00,137.00,5.10,0.03,49.00,36.00,0.02,5.10,0.03,52.00,8.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
184,935/3,26.80,49.50,6.30,0.00,23.00,15.00,75.00,137.00,4.90,0.03,51.00,36.00,0.01,4.90,0.03,53.00,8.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
187,936/1,26.80,49.60,6.90,0.00,24.00,16.00,76.00,139.00,5.10,0.03,4.00,15.00,0.01,5.10,0.03,3.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
190,936/2,26.70,53.80,7.00,0.00,24.00,16.00,76.00,139.00,5.00,0.03,4.00,15.00,0.01,5.00,0.03,3.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
193,936/3,26.10,50.80,7.10,0.00,23.00,15.00,75.00,139.00,5.10,0.03,4.00,15.00,0.01,5.10,0.03,3.00,4.00,5.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
196,937/1,26.10,51.60,6.80,0.00,27.00,19.00,80.00,146.00,5.10,0.03,17.00,20.00,0.02,5.10,0.03,16.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
199,937/2,25.90,49.60,7.00,0.00,27.00,19.00,80.00,146.00,4.80,0.03,18.00,20.00,0.02,4.80,0.03,15.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
202,937/3,25.90,49.60,7.00,0.00,27.00,19.00,80.00,146.00,5.00,0.03,20.00,19.00,0.02,5.00,0.03,15.00,5.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
205,938/1,25.80,50.60,6.60,0.00,23.00,15.00,76.00,138.00,4.80,0.03,7.00,16.00,0.01,4.80,0.03,8.00,4.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
208,938/2,25.80,51.80,6.40,0.00,23.00,15.00,75.00,138.00,4.80,0.03,7.00,16.00,0.01,4.80,0.03,7.00,4.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
211,938/3,25.60,53.40,6.50,0.00,23.00,15.00,75.00,138.00,4.80,0.03,8.00,15.00,0.01,4.80,0.03,7.00,4.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
214,939/1,25.10,49.70,7.30,0.00,26.00,18.00,79.00,144.00,5.50,0.04,19.00,18.00,0.02,5.50,0.04,20.00,5.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
217,939/2,24.40,47.90,7.50,0.00,26.00,18.00,79.00,144.00,5.60,0.04,21.00,18.00,0.02,5.60,0.04,18.00,5.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
220,939/3,24.50,48.10,7.60,0.00,26.00,18.00,79.00,144.00,5.50,0.04,18.00,18.00,0.02,5.50,0.04,17.00,4.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
223,940/1,24.50,49.50,7.40,0.00,34.00,27.00,88.00,161.00,5.40,0.03,43.00,36.00,0.04,5.40,0.03,72.00,8.00,6.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
226,940/2,24.50,49.80,7.60,0.00,34.00,27.00,88.00,161.00,5.60,0.03,45.00,38.00,0.04,5.60,0.03,74.00,8.00,6.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
229,940/3,24.70,49.60,7.70,0.00,35.00,28.00,89.00,163.00,5.60,0.03,48.00,39.00,0.04,5.60,0.03,81.00,8.00,6.00,0.05,35.50,30.00,7.00,0.01,4.00,50.00
232,968/1,24.60,48.60,7.50,0.00,24.00,16.00,77.00,141.00,5.40,0.04,18.00,10.00,0.02,5.40,0.04,25.00,3.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
235,968/2,24.50,50.10,7.80,0.00,24.00,16.00,77.00,140.00,5.30,0.04,21.00,9.00,0.02,5.30,0.04,26.00,3.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
238,968/3,24.40,48.60,7.80,0.00,24.00,16.00,77.00,141.00,5.40,0.04,19.00,9.00,0.02,5.40,0.04,30.00,3.00,6.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
241,975/1,23.70,53.60,7.10,10.00,70.00,6.20,128.00,234.00,4.90,0.11,68.00,14.00,0.15,4.90,0.11,55.00,4.00,5.00,0.07,18.00,30.00,6.60,0.01,4.00,50.00
244,975/2,23.60,53.20,7.00,10.00,70.00,63.00,129.00,235.00,5.20,0.10,65.00,15.00,0.15,5.20,0.10,53.00,4.00,5.00,0.07,18.00,30.00,6.80,0.01,4.00,50.00
247,975/3,23.60,49.60,7.10,9.00,69.00,61.00,127.00,232.00,5.20,0.12,76.00,14.00,0.16,5.20,0.12,54.00,4.00,5.00,0.07,18.00,30.00,6.70,0.01,4.00,50.00
250,977/1,23.80,50.60,6.40,0.00,23.00,15.00,75.00,138.00,4.60,0.11,18.00,35.00,0.02,4.60,0.11,14.00,7.00,4.50,0.07,3.00,30.00,6.80,0.01,4.00,50.00
253,977/2,23.10,50.60,6.00,0.00,24.00,16.00,76.00,139.00,4.50,0.11,20.00,35.00,0.02,4.50,0.11,12.00,7.00,4.50,0.07,3.00,30.00,6.80,0.01,4.00,50.00
256,977/3,23.80,47.30,6.00,0.00,23.00,15.00,75.00,138.00,4.40,0.11,19.00,37.00,0.02,4.40,0.11,13.00,7.00,4.50,0.07,3.00,30.00,6.80,0.01,4.00,50.00
259,982/1,23.70,50.60,5.60,36.00,129.00,122.00,196.00,103.00,3.90,0.14,20.00,55.00,0.25,3.90,0.14,10.00,10.00,4.50,0.07,6.50,30.00,6.30,0.01,4.00,50.00
262,982/2,23.50,50.60,5.80,36.00,129.00,122.00,196.00,103.00,3.80,0.14,21.00,56.00,0.25,3.80,0.14,9.00,11.00,4.50,0.07,6.50,30.00,6.30,0.01,9.00,125.00
265,982/3,22.70,51.80,6.00,34.00,125.00,117.00,191.00,93.00,3.80,0.14,20.00,56.00,0.26,3.80,0.14,10.00,10.00,4.50,0.07,6.50,30.00,6.40,0.01,9.00,125.00
268,985/1,22.70,48.90,6.50,0.00,39.00,31.00,94.00,171.00,4.60,0.06,106.00,18.00,0.06,4.60,0.06,73.00,5.00,5.00,0.05,18.00,30.00,6.80,0.01,4.00,50.00
271,985/2,22.60,48.30,6.40,0.00,40.00,32.00,94.00,172.00,4.50,0.06,102.00,18.00,0.07,4.50,0.06,77.00,5.00,5.00,0.05,18.00,30.00,7.00,0.01,4.00,50.00
274,985/3,22.50,50.30,6.50,0.00,41.00,33.00,95.00,174.00,4.60,0.06,103.00,18.00,0.06,4.60,0.06,76.00,5.00,5.00,0.05,18.00,30.00,6.70,0.01,4.00,50.00
277,989/1,23.10,50.30,6.60,0.00,28.00,20.00,81.00,148.00,4.70,0.04,58.00,9.00,0.03,4.70,0.04,63.00,3.00,4.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
280,989/2,23.20,46.80,6.70,0.00,28.00,20.00,80.00,147.00,4.60,0.04,62.00,10.00,0.03,4.60,0.04,63.00,3.00,4.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
283,989/3,23.30,47.90,6.70,0.00,28.00,20.00,80.00,147.00,4.60,0.04,57.00,8.00,0.03,4.60,0.04,63.00,3.00,4.50,0.05,18.00,30.00,7.00,0.01,4.00,50.00
286,991/1,23.50,50.10,6.80,0.00,26.00,18.00,78.00,143.00,4.50,0.10,7.00,56.00,0.02,4.50,0.10,6.00,13.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
289,991/2,23.20,50.60,6.70,0.00,26.00,18.00,78.00,143.00,4.50,0.11,6.00,58.00,0.03,4.50,0.11,6.00,13.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
292,991/3,23.80,47.80,6.60,0.00,26.00,18.00,78.00,143.00,4.60,0.11,6.00,60.00,0.02,4.60,0.11,6.00,12.00,4.50,0.05,3.00,30.00,7.00,0.01,4.00,50.00
295,1003/1,30.20,61.60,7.20,0.00,29.00,21.00,82.00,150.00,5.80,0.03,14.00,10.00,0.02,5.80,0.03,21.00,3.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
298,1003/2,30.00,60.70,7.50,0.00,29.00,21.00,81.00,149.00,5.80,0.03,14.00,9.00,0.02,5.80,0.03,19.00,3.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
301,1003/3,29.90,59.10,7.40,0.00,29.00,21.00,81.00,149.00,5.90,0.03,13.00,8.00,0.02,5.90,0.03,18.00,3.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
304,1009/1,29.90,60.70,7.00,0.00,23.00,15.00,75.00,138.00,5.50,0.04,20.00,14.00,0.01,5.50,0.04,16.00,4.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
310,1009/2,30.10,59.10,6.70,0.00,23.00,15.00,75.00,137.00,5.60,0.04,22.00,15.00,0.01,5.60,0.04,14.00,4.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
313,1009/3,30.00,59.10,6.60,0.00,23.00,15.00,75.00,138.00,5.60,0.04,19.00,14.00,0.01,5.60,0.04,14.00,4.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
316,1010/1,29.70,6.30,6.60,0.00,25.00,17.00,78.00,142.00,5.20,0.07,95.00,15.00,0.02,5.20,0.07,140.00,4.00,5.50,0.07,46.00,30.00,7.00,0.01,4.00,50.00
319,1010/2,29.30,58.50,6.60,0.00,22.00,14.00,74.00,135.00,5.30,0.07,99.00,16.00,0.02,5.30,0.07,150.00,4.00,5.50,0.07,46.00,30.00,7.00,0.01,4.00,50.00
322,1010/3,29.40,59.10,6.40,0.00,25.00,17.00,77.00,141.00,5.40,0.06,92.00,16.00,0.02,5.40,0.06,145.00,4.00,5.50,0.07,46.00,30.00,7.00,0.01,4.00,50.00
325,1011/1,29.70,59.10,6.40,0.00,24.00,16.00,76.00,139.00,5.20,0.07,167.00,26.00,0.01,5.20,0.07,262.00,6.00,5.50,0.05,46.00,30.00,7.00,0.01,4.00,50.00
328,1011/2,29.80,60.50,6.50,0.00,24.00,16.00,76.00,139.00,5.30,0.08,146.00,26.00,0.01,5.30,0.08,266.00,6.00,5.50,0.05,46.00,30.00,7.00,0.01,4.00,50.00
331,1011/3,29.80,59.10,6.40,0.00,24.00,16.00,76.00,139.00,5.30,0.07,169.00,25.00,0.01,5.30,0.07,247.00,6.00,5.50,0.05,46.00,30.00,7.00,0.01,4.00,50.00
334,1013/1,29.60,60.50,6.40,0.00,34.00,26.00,88.00,160.00,5.00,0.05,6.00,21.00,0.03,5.00,0.05,5.00,5.00,5.00,0.07,3.00,30.00,7.00,0.01,4.00,50.00
337,1013/2,29.50,63.80,6.30,0.00,35.00,27.00,89.00,162.00,5.10,0.05,5.00,22.00,0.03,5.10,0.05,5.00,5.00,5.00,0.07,3.00,30.00,7.00,0.01,4.00,50.00
340,1013/3,29.30,62.00,6.30,0.00,34.00,27.00,88.00,161.00,5.10,0.05,6.00,22.00,0.03,5.10,0.05,5.00,5.00,5.00,0.07,3.00,30.00,6.80,0.01,4.00,50.00
343,1034/1,29.50,65.80,7.10,4.00,55.00,47.00,112.00,204.00,5.60,0.11,1340.00,81.00,0.08,5.60,0.11,1482.00,18.00,5.50,0.12,35.50,75.50,7.00,0.01,4.00,50.00
346,1034/2,29.70,64.20,7.20,4.00,55.00,47.00,112.00,204.00,5.70,0.12,1210.00,86.00,0.07,5.70,0.12,1531.00,17.00,5.50,0.12,35.50,75.50,7.00,0.01,4.00,50.00
349,1034/3,29.80,68.70,7.30,4.00,56.00,48.00,112.00,205.00,5.80,0.11,1330.00,86.00,0.07,5.80,0.11,1502.00,17.00,5.50,0.12,35.50,75.50,7.00,0.01,4.00,50.00
352,1035/1,29.60,60.50,6.20,11.00,72.00,64.00,131.00,239.00,5.20,0.12,100.00,26.00,0.11,5.20,0.12,96.00,6.00,5.50,0.12,18.00,30.00,7.00,0.05,4.00,50.00
355,1035/2,29.40,63.40,6.10,10.00,69.00,62.00,128.00,233.00,5.20,0.12,105.00,28.00,0.10,5.20,0.12,99.00,6.00,5.50,0.12,18.00,30.00,7.00,0.05,4.00,50.00
358,1035/3,29.30,59.10,6.10,9.00,68.00,60.00,126.00,230.00,5.20,0.10,99.00,25.00,0.10,5.20,0.10,94.00,6.00,5.50,0.12,18.00,30.00,7.00,0.05,4.00,50.00
361,1039/1,29.50,67.10,5.20,88.00,250.00,244.00,80.00,100.00,4.10,0.20,10.00,87.00,0.52,4.10,0.20,5.00,15.00,4.50,0.15,6.50,30.00,5.60,0.01,9.00,125.00
364,1039/2,29.80,69.50,5.40,95.00,10.00,4.00,97.00,131.00,4.40,0.21,10.00,84.00,0.53,4.40,0.21,5.00,15.00,4.50,0.15,6.50,30.00,5.80,0.01,9.00,125.00
367,1039/3,30.20,70.90,5.50,95.00,11.00,5.00,91.00,120.00,4.30,0.21,11.00,85.00,0.53,4.30,0.21,5.00,15.00,4.50,0.15,6.50,30.00,5.40,0.01,9.00,125.00
370,1044/1,29.90,59.10,6.70,0.00,24.00,16.00,76.00,139.00,4.90,0.02,7.00,15.00,0.01,4.90,0.02,10.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
373,1044/2,30.00,59.50,6.50,0.00,24.00,16.00,76.00,139.00,5.10,0.02,8.00,17.00,0.01,5.10,0.02,11.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
376,1044/3,30.00,60.70,6.50,0.00,24.00,16.00,76.00,139.00,5.20,0.02,7.00,14.00,0.01,5.20,0.02,10.00,4.00,5.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
379,1052/1,30.00,59.10,6.10,0.00,31.00,24.00,85.00,155.00,4.80,0.07,44.00,14.00,0.03,4.80,0.07,28.00,5.00,5.00,0.07,6.50,30.00,7.00,0.01,4.00,50.00
382,1052/2,30.20,60.70,6.10,0.00,32.00,24.00,85.00,156.00,4.90,0.06,46.00,15.00,0.03,4.90,0.06,27.00,5.00,5.00,0.07,6.50,30.00,7.00,0.01,4.00,50.00
385,1052/3,30.00,60.74,6.00,0.00,32.00,24.00,85.00,156.00,4.80,0.06,42.00,16.00,0.03,4.80,0.06,28.00,5.00,5.00,0.07,6.50,30.00,7.00,0.01,4.00,50.00
388,1056/1,30.10,59.10,7.30,0.00,29.00,21.00,82.00,150.00,6.00,0.04,15.00,61.00,0.02,6.00,0.04,17.00,12.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
391,1056/2,30.10,66.40,7.50,0.00,29.00,21.00,82.00,150.00,6.10,0.04,17.00,56.00,0.02,6.10,0.04,17.00,12.00,6.00,0.05,6.50,30.00,7.00,0.01,4.00,50.00
